"FECHA HECHO","COD_DEPTO","DEPARTAMENTO","COD_MUNI","MUNICIPIO","CANTIDAD","UNIDAD DE MEDIDA"
"2026 Mar 31 12:00:00 AM","54","NORTE DE SANTANDER","54810","TIBU","2","UNIDAD"
"2026 Mar 31 12:00:00 AM","52","NARIÑO","52490","OLAYA HERRERA","1","UNIDAD"
"2026 Mar 31 12:00:00 AM","13","BOLIVAR","13744","SIMITI","1","UNIDAD"
"2026 Mar 31 12:00:00 AM","52","NARIÑO","52696","SANTA BARBARA","1","UNIDAD"
"2026 Mar 31 12:00:00 AM","52","NARIÑO","52250","EL CHARCO","1","UNIDAD"
"2026 Mar 31 12:00:00 AM","52","NARIÑO","52835","SAN ANDRES DE TUMACO","5","UNIDAD"
"2026 Mar 31 12:00:00 AM","52","NARIÑO","52621","ROBERTO PAYAN","5","UNIDAD"
"2026 Mar 31 12:00:00 AM","05","ANTIOQUIA","05660","SAN LUIS","3","UNIDAD"
"2026 Mar 30 12:00:00 AM","50","META","50590","PUERTO RICO","1","UNIDAD"
"2026 Mar 30 12:00:00 AM","18","CAQUETA","18150","CARTAGENA DEL CHAIRA","1","UNIDAD"
"2026 Mar 30 12:00:00 AM","52","NARIÑO","52490","OLAYA HERRERA","5","UNIDAD"
"2026 Mar 30 12:00:00 AM","86","PUTUMAYO","86569","PUERTO CAICEDO","2","UNIDAD"
"2026 Mar 30 12:00:00 AM","18","CAQUETA","18860","VALPARAISO","1","UNIDAD"
"2026 Mar 30 12:00:00 AM","54","NORTE DE SANTANDER","54810","TIBU","2","UNIDAD"
"2026 Mar 30 12:00:00 AM","52","NARIÑO","52835","SAN ANDRES DE TUMACO","12","UNIDAD"
"2026 Mar 30 12:00:00 AM","52","NARIÑO","52215","CORDOBA","1","UNIDAD"
"2026 Mar 29 12:00:00 AM","86","PUTUMAYO","86568","PUERTO ASIS","3","UNIDAD"
"2026 Mar 29 12:00:00 AM","23","CORDOBA","23807","TIERRALTA","1","UNIDAD"
"2026 Mar 29 12:00:00 AM","05","ANTIOQUIA","05790","TARAZA","1","UNIDAD"
"2026 Mar 29 12:00:00 AM","05","ANTIOQUIA","05790","TARAZA","1","UNIDAD"
"2026 Mar 29 12:00:00 AM","52","NARIÑO","52835","SAN ANDRES DE TUMACO","2","UNIDAD"
"2026 Mar 29 12:00:00 AM","13","BOLIVAR","13744","SIMITI","1","UNIDAD"
"2026 Mar 28 12:00:00 AM","52","NARIÑO","52427","MAGÜI","5","UNIDAD"
"2026 Mar 28 12:00:00 AM","18","CAQUETA","18592","PUERTO RICO","1","UNIDAD"
"2026 Mar 28 12:00:00 AM","05","ANTIOQUIA","05480","MUTATA","1","UNIDAD"
"2026 Mar 28 12:00:00 AM","27","CHOCO","27001","QUIBDO","3","UNIDAD"
"2026 Mar 28 12:00:00 AM","54","NORTE DE SANTANDER","54810","TIBU","1","UNIDAD"
"2026 Mar 28 12:00:00 AM","15","BOYACA","15572","PUERTO BOYACA","2","UNIDAD"
"2026 Mar 27 12:00:00 AM","52","NARIÑO","52835","SAN ANDRES DE TUMACO","1","UNIDAD"
"2026 Mar 27 12:00:00 AM","86","PUTUMAYO","86568","PUERTO ASIS","1","UNIDAD"
"2026 Mar 27 12:00:00 AM","27","CHOCO","27800","UNGUIA","1","UNIDAD"
"2026 Mar 27 12:00:00 AM","54","NORTE DE SANTANDER","54810","TIBU","3","UNIDAD"
"2026 Mar 27 12:00:00 AM","52","NARIÑO","52490","OLAYA HERRERA","1","UNIDAD"
"2026 Mar 27 12:00:00 AM","52","NARIÑO","52250","EL CHARCO","1","UNIDAD"
"2026 Mar 27 12:00:00 AM","15","BOYACA","15690","SANTA MARIA","1","UNIDAD"
"2026 Mar 26 12:00:00 AM","52","NARIÑO","52835","SAN ANDRES DE TUMACO","2","UNIDAD"
"2026 Mar 26 12:00:00 AM","05","ANTIOQUIA","05854","VALDIVIA","1","UNIDAD"
"2026 Mar 26 12:00:00 AM","95","GUAVIARE","95001","SAN JOSE DEL GUAVIARE","1","UNIDAD"
"2026 Mar 26 12:00:00 AM","44","LA GUAJIRA","44090","DIBULLA","1","UNIDAD"
"2026 Mar 26 12:00:00 AM","52","NARIÑO","52250","EL CHARCO","1","UNIDAD"
"2026 Mar 26 12:00:00 AM","54","NORTE DE SANTANDER","54810","TIBU","3","UNIDAD"
"2026 Mar 26 12:00:00 AM","27","CHOCO","27615","RIOSUCIO","3","UNIDAD"
"2026 Mar 26 12:00:00 AM","54","NORTE DE SANTANDER","54250","EL TARRA","1","UNIDAD"
"2026 Mar 25 12:00:00 AM","50","META","50711","VISTAHERMOSA","1","UNIDAD"
"2026 Mar 25 12:00:00 AM","52","NARIÑO","52678","SAMANIEGO","1","UNIDAD"
"2026 Mar 25 12:00:00 AM","86","PUTUMAYO","86320","ORITO","1","UNIDAD"
"2026 Mar 25 12:00:00 AM","05","ANTIOQUIA","05854","VALDIVIA","3","UNIDAD"
"2026 Mar 25 12:00:00 AM","27","CHOCO","27800","UNGUIA","2","UNIDAD"
"2026 Mar 25 12:00:00 AM","76","VALLE DEL CAUCA","76109","BUENAVENTURA","1","UNIDAD"
"2026 Mar 25 12:00:00 AM","86","PUTUMAYO","86569","PUERTO CAICEDO","1","UNIDAD"
