"TEMA","COMPONENTE","PROGRAMA","META DE PRODUCTO","COMUNAS","CORREGIMIENTOS","OBSERVACIÓN","UBICACIÓN SECTOR","AÑO"
"Ejecutar obras de infraestructura para la mitigación del riesgo en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 18 Gestión integral del riesgo en el municipio de Pereira","P18MP127: Ejecutar 15 obras de infraestructura para la mitigación del riesgo en el municipio.","20. no aplica","4. corregimiento cerritos","estudios y diseños definitivos y ejecución de las obras de protección y mitigación del riesgo en el sector confamiliar , comuna villasantana (declaratoria de calamidad pública, decreto no. 0703 del 01-09-23.","sector confamiliar (villasantana","2,024"
"Ejecutar obras de infraestructura para la mitigación del riesgo en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 18 Gestión integral del riesgo en el municipio de Pereira","P18MP127: Ejecutar 15 obras de infraestructura para la mitigación del riesgo en el municipio.","20. no aplica","9. corregimiento la florida","ejecución obra para la mitigación del riesgo en el sector de las peñas, corregimiento de la florida (declaratoria de calamidad pública, decreto no. 0398 del 12-05-23 y a la declaratoria de urgencia manifiesta, decreto no. 0401 del 12-05-23.","sector de las peñas, corregimiento de la florida","2,024"
"Ejecutar obras de infraestructura para la mitigación del riesgo en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 18 Gestión integral del riesgo en el municipio de Pereira","P18MP127: Ejecutar 15 obras de infraestructura para la mitigación del riesgo en el municipio.","20. no aplica","4. corregimiento cerritos","ejecución obra para la mitigación del riesgo en el sector de acceso a la vereda el tigre corregimiento de cerritos, declaratoria de calamidad pública decreto no. 0398 del 12-05-23 y declaratoria de urgencia manifiesta decreto no. 0401 del 12-05-23.","sector de acceso a la vereda el tigre corregimiento de cerritos","2,024"
"Ejecutar obras de infraestructura para la mitigación del riesgo en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 18 Gestión integral del riesgo en el municipio de Pereira","P18MP127: Ejecutar 15 obras de infraestructura para la mitigación del riesgo en el municipio.","8. comuna el rocio","13. no aplica","ejecución de la primera fase de la construcción de la obra de protección y mitigación en el sector de rocio bajo- rio consota, declaratoria de calamidad pública, decreto no. 0450 del 16-03-22 prorrogada por el decreto 1093 del 15-09-22 y a la declaratoria de urgencia manifiesta decreto no. 0451 del 16-03-22.","rio consota - rocio bajo","2,024"
"Ejecutar obras de infraestructura para la mitigación del riesgo en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 18 Gestión integral del riesgo en el municipio de Pereira","P18MP127: Ejecutar 15 obras de infraestructura para la mitigación del riesgo en el municipio.","20. no aplica","8. corregimiento la bella","ejecución obras de protección y mitigación en los sectores de la vía el chocho, declaratoria de calamidad pública, decreto no. 000883 del 08-05-24","el chocho","2,024"
"Ejecutar obras de infraestructura para la mitigación del riesgo en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 18 Gestión integral del riesgo en el municipio de Pereira","P18MP127: Ejecutar 15 obras de infraestructura para la mitigación del riesgo en el municipio.","20. no aplica","1. corregimiento altagracia","ejecución obras de protección y mitigación en los sectores de la vía altagracia, declaratoria de calamidad pública, decreto no. 000883 del 08-05-24","altagracia","2,024"
"Construcción de la Conexión Vial Alamos Pinares 340 MTS cuadrados.","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP181: Construcción del paquete de obras viales de alto impacto (3) para la movilidad de Pereira. (Solución definitiva intersección Corales, Doble Calzada Avenida de Río, Turín,y terminación fase 1 y fase 2 Avenida de los Colibríes)","17. comuna universidad","13. no aplica","construcción de la conexión vial alamos pinares 340 mts cuadrados.","alamos.","2,024"
"Construcción de vía en concreto flexible, acceso colegio Jose Antonio Galán (conexión vía Condina) de Pereira","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP181: Construcción del paquete de obras viales de alto impacto (3) para la movilidad de Pereira. (Solución definitiva intersección Corales, Doble Calzada Avenida de Río, Turín,y terminación fase 1 y fase 2 Avenida de los Colibríes)","20. no aplica","12. corregimiento tribunas","construcción de vía en concreto flexible, acceso colegio jose antonio galán (conexión vía condina) de pereira","tribunas","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","1. comuna boston","13. no aplica","cero huecos","carrera 22 calle 23 palermo","2,024"
"Adecuar equipamientos colectivos en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 24 Infraestructura Social","P24MP189: Adecuar 550 equipamientos colectivos en el municipio.","2. comuna centro","13. no aplica","vivienda/tics/infra. plomeria","palacio mun","2,024"
"Adecuar equipamientos colectivos en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 24 Infraestructura Social","P24MP189: Adecuar 550 equipamientos colectivos en el municipio.","2. comuna centro","13. no aplica","pintura","salon del ciudadano","2,024"
"Adecuar equipamientos colectivos en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 24 Infraestructura Social","P24MP189: Adecuar 550 equipamientos colectivos en el municipio.","2. comuna centro","13. no aplica","plomero un sanitaria","sec.salud","2,024"
"Adecuar equipamientos colectivos en el municipio.","Pereira segura, innovadora, competitiva e inteligente","Programa No 24 Infraestructura Social","P24MP189: Adecuar 550 equipamientos colectivos en el municipio.","2. comuna centro","13. no aplica","plomeria, fuga de agua, lavado pintura","teatro santiago londoño","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","zona centro(parque lago- plaza bolivar)","lago-plaza de bolivar","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","construcción y adecuación reja sumidero","calle 28 entre 7 y 8","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","cambio y reparacion adoquines","carrera 8 calle 21-22","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","cambio y reparacion adoquines","carrera 9 calle 17","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","reparacion adoquineria","parque el lago","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","reparacion adoquines andenes - pintura","zona centro plaza (plaza bolivar esquina alcaldia)","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","construcción y mantenimiento en asfalto","construcción de resaltos carrera 3 entre 27 y 28, carrera 3 entre 20 y 21 y cero huecos alta vista","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","adoquines","via el lago","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de vías en asfalto y/o fresado","carrera 5 entre calles 24 y 25; reparcheos carrera 6 ente calle 36 y 37;mantenimiento avenida 30 de agosto; mantenimiento calle 27con avenida 30 de agosto","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","adoquines","via el lago","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","mantenimiento de la vía en asflato y/o fresado","mantenimiento calle 28 con avenida 30 de agosto; mantenimiento avenida sur sector de la calle 100 hacia la glorieta bajo la av. 30 de agosto.","2,024"
"Mantenimiento en metros cuadrados de vias urbanas","Pereira segura, innovadora, competitiva e inteligente","Programa No 23 Infraestructura vial","P23MP183: Realizar mantenimiento, adecuación y/o rehabilitación a 400.000 metros cuadrados de vías urbanas en el Municipio.","2. comuna centro","13. no aplica","adoquines","via el lago","2,024"
